"UAAXK0000","UAAXK0000_ORG","UAA","res","x","y"
NA,NA,NA,40000,2880,5080
NA,NA,NA,40000,2920,5080
110960,0,110960,40000,2840,5040
272530,0,272530,40000,2880,5040
NA,NA,NA,40000,2920,5040
172270,0,172270,40000,2960,5040
97250,0,97250,40000,3000,5040
NA,NA,NA,40000,2760,5000
110700,0,110700,40000,2800,5000
235350,0,235350,40000,2840,5000
407270,0,407270,40000,2880,5000
1654780,0,1654780,40000,2920,5000
2229760,0,2229760,40000,2960,5000
494660,0,494660,40000,3000,5000
322340,0,322340,40000,3040,5000
112630,0,112630,40000,3080,5000
590440,0,590440,40000,3120,5000
NA,NA,NA,40000,3160,5000
58870,0,58870,40000,2800,4960
120410,0,120410,40000,2880,4960
379240,0,379240,40000,2920,4960
246250,0,246250,40000,2960,4960
436870,0,436870,40000,3000,4960
390860,0,390860,40000,3040,4960
NA,NA,NA,40000,3200,4960
125350,0,125350,40000,2800,4920
839990,0,839990,40000,2840,4920
108960,0,108960,40000,2880,4920
NA,NA,NA,40000,3040,4920
132840,0,132840,40000,3080,4920
185360,0,185360,40000,3160,4920
78270,0,78270,40000,3200,4920
NA,NA,NA,40000,2760,4880
51230,0,51230,40000,2800,4880
81750,0,81750,40000,2840,4880
391720,0,391720,40000,2880,4880
NA,NA,NA,40000,3120,4880
137180,0,137180,40000,3160,4880
238830,0,238830,40000,3200,4880
NA,NA,NA,40000,2800,4840
1243340,0,1243340,40000,2880,4840
NA,NA,NA,40000,3120,4840
362420,0,362420,40000,3160,4840
68460,0,68460,40000,3200,4840
111750,0,111750,40000,2840,4800
NA,NA,NA,40000,2960,4800
NA,NA,NA,40000,3120,4800
75750,0,75750,40000,3160,4800
64440,0,64440,40000,2880,4760
692230,0,692230,40000,2920,4760
240970,0,240970,40000,2960,4760
39370,0,39370,40000,3080,4760
47030,0,47030,40000,3120,4760
2970,0,2970,1000,-2606,984
30,0,30,1000,-2601,980
150,0,150,1000,-2706,974
30,0,30,1000,-2721,920
70,0,70,1000,-2723,914
20,0,20,1000,-2723,913
550,0,550,1000,-2723,912
70,0,70,1000,-2727,905
NA,NA,NA,1000,-2602,873
320,0,320,1000,-2726,852
10,0,10,1000,-2722,821
90,0,90,1000,-2721,821
20,0,20,1000,-2721,820
670,0,670,1000,-2721,819
30,0,30,1000,-2726,800
NA,NA,NA,1000,-2651,746
NA,NA,NA,1000,-2512,731
30,0,30,1000,-2505,686
NA,NA,NA,1000,-2527,651
60,0,60,1000,-2637,628
50,0,50,1000,-2593,627
80,0,80,5000,-2645,1000
130,0,130,5000,-2605,985
30,0,30,5000,-2725,915
20,0,20,5000,-2725,845
70,0,70,5000,-2720,820
20,0,20,5000,-2520,800
NA,NA,NA,10000,-2610,2630
60,0,60,10000,-2690,990
130,0,130,10000,-2640,990
230,0,230,10000,-2630,990
2670,0,2670,10000,-2620,990
460,0,460,10000,-2610,990
870,0,870,10000,-2520,650
1580,30,1580,10000,9980,-3070
2840,80,2840,10000,9990,-3070
1940,30,1940,10000,9980,-3080
1280,40,1280,10000,9990,-3080
NA,NA,NA,20000,-2620,2720
7730,250,7740,20000,-2600,2700
7220,80,7240,20000,-2600,2680
NA,NA,NA,20000,-2680,2460
70,0,70,20000,-2680,1000
230,0,230,20000,-2600,960
80,0,80,20000,-2720,940
160,0,160,20000,-2520,780
NA,NA,NA,20000,-2540,720
NA,NA,NA,20000,8700,-2780
2660,110,2660,20000,9960,-3060
4620,130,4620,20000,9980,-3060
6350,80,6350,20000,9960,-3080
9280,260,9290,40000,-2640,2680
NA,NA,NA,40000,-2640,2640
NA,NA,NA,40000,-2600,2640
6050,150,6050,40000,-2680,2520
NA,NA,NA,40000,-2720,2480
13680,230,13690,40000,-2680,2480
NA,NA,NA,40000,-2640,1000
2630,0,2630,40000,-2680,960
NA,NA,NA,40000,-2600,920
NA,NA,NA,40000,-2560,880
NA,NA,NA,40000,-2560,840
9630,130,9630,40000,-2560,800
NA,NA,NA,40000,-2560,760
4960,60,4960,40000,8720,-2800
3600,40,3600,40000,9960,-3040
8920,210,8920,40000,10000,-3040
NA,NA,NA,40000,9920,-3080
3760,250,3760,40000,10000,-3080
NA,NA,NA,1000,5018,5400
NA,NA,NA,1000,4952,5385
NA,NA,NA,1000,4832,5368
NA,NA,NA,1000,4952,5350
NA,NA,NA,1000,4867,5333
NA,NA,NA,1000,4858,5312
NA,NA,NA,1000,5073,5282
NA,NA,NA,1000,4966,5262
NA,NA,NA,1000,4881,5196
NA,NA,NA,1000,5058,5178
NA,NA,NA,1000,4858,5169
NA,NA,NA,1000,4980,5136
NA,NA,NA,1000,4760,5122
NA,NA,NA,1000,4798,5096
NA,NA,NA,1000,4841,5080
NA,NA,NA,1000,5066,5063
NA,NA,NA,1000,4757,4993
NA,NA,NA,1000,4412,4934
NA,NA,NA,1000,4650,4818
NA,NA,NA,1000,5259,4762
NA,NA,NA,1000,4881,4758
NA,NA,NA,1000,4629,4743
NA,NA,NA,1000,4584,4666
NA,NA,NA,1000,4519,4521
NA,NA,NA,1000,4803,4518
NA,NA,NA,1000,5362,4439
NA,NA,NA,1000,4619,4311
NA,NA,NA,1000,5078,4094
0,0,0,1000,5016,4040
NA,NA,NA,1000,5054,3959
NA,NA,NA,1000,4398,3918
NA,NA,NA,1000,4997,3802
NA,NA,NA,1000,4219,3760
120,0,120,1000,5189,3506
NA,NA,NA,1000,4743,3441
NA,NA,NA,1000,3992,3365
NA,NA,NA,1000,5220,3338
280,0,280,1000,5285,3200
160,0,160,1000,5260,3075
NA,NA,NA,1000,4560,2775
NA,NA,NA,1000,4565,2733
NA,NA,NA,1000,4560,2715
NA,NA,NA,1000,4605,2703
380,0,380,1000,4105,2685
NA,NA,NA,1000,4622,2685
NA,NA,NA,1000,5720,2685
500,0,500,1000,4250,2678
220,0,220,1000,4252,2670
160,160,160,1000,4254,2670
NA,NA,NA,1000,4473,2669
NA,NA,NA,1000,4623,2669
NA,NA,NA,1000,4654,2668
NA,NA,NA,1000,4587,2666
330,0,330,1000,4269,2664
80,0,80,1000,4269,2663
40,0,40,1000,4189,2658
1470,0,1470,1000,4185,2657
290,0,290,1000,4278,2644
NA,NA,NA,1000,4185,2639
110,0,110,1000,4143,2628
310,310,310,1000,4146,2627
290,290,290,1000,4157,2626
360,0,360,1000,4157,2625
240,0,240,1000,4158,2625
510,0,510,1000,4181,2625
360,0,360,1000,4193,2625
340,0,340,1000,4147,2624
390,0,390,1000,4183,2623
750,0,750,1000,4185,2622
190,190,190,1000,4153,2621
0,0,0,1000,4123,2618
140,0,140,1000,4134,2618
NA,NA,NA,1000,4278,2618
NA,NA,NA,1000,4547,2618
450,0,450,1000,4123,2617
180,0,180,1000,4135,2617
220,0,220,1000,4134,2616
NA,NA,NA,1000,4112,2615
230,230,230,1000,4119,2615
70,0,70,1000,4167,2615
280,0,280,1000,4170,2615
500,0,500,1000,4172,2615
620,620,620,1000,4277,2615
370,0,370,1000,4118,2614
200,0,200,1000,4119,2614
210,0,210,1000,4133,2614
160,0,160,1000,4170,2614
250,250,250,1000,4119,2613
380,380,380,1000,4168,2613
270,0,270,1000,4169,2613
NA,NA,NA,1000,4735,2613
470,0,470,1000,4139,2611
390,390,390,1000,4128,2610
190,0,190,1000,4139,2610
470,470,470,1000,4160,2610
1160,1160,1160,1000,4120,2609
170,0,170,1000,4120,2607
570,0,570,1000,4159,2607
170,0,170,1000,4120,2606
370,370,370,1000,4159,2606
570,570,570,1000,4272,2606
420,420,420,1000,4116,2605
520,0,520,1000,4119,2604
100,0,100,1000,4142,2604
580,0,580,1000,4113,2603
630,630,630,1000,4120,2603
530,0,530,1000,4134,2603
370,0,370,1000,4110,2601
140,0,140,1000,4112,2601
760,0,760,1000,4112,2600
280,0,280,1000,4133,2600
460,0,460,1000,4135,2600
NA,NA,NA,1000,4414,2599
NA,NA,NA,1000,4218,2592
NA,NA,NA,1000,4200,2585
NA,NA,NA,1000,5801,2559
2040,0,2040,1000,4363,2544
760,0,760,1000,4995,2495
440,0,440,1000,4997,2493
3860,30,3860,1000,4993,2485
NA,NA,NA,1000,3434,2468
NA,NA,NA,1000,3300,2340
NA,NA,NA,1000,4749,2316
60,0,60,1000,4922,2265
NA,NA,NA,1000,4313,2258
NA,NA,NA,1000,3962,2239
NA,NA,NA,1000,4790,2231
NA,NA,NA,1000,3620,2219
NA,NA,NA,1000,3750,2215
NA,NA,NA,1000,4640,2210
10,0,10,1000,4999,2199
40,0,40,1000,5005,2199
30,0,30,1000,5011,2199
50,0,50,1000,5006,2198
60,0,60,1000,5013,2198
40,0,40,1000,5008,2197
20,0,20,1000,5010,2197
30,0,30,1000,5011,2196
20,0,20,1000,5005,2195
60,0,60,1000,5014,2195
20,0,20,1000,5007,2194
140,0,140,1000,5009,2194
NA,NA,NA,1000,3650,2192
10,0,10,1000,5017,2190
20,0,20,1000,5015,2189
20,0,20,1000,5020,2186
NA,NA,NA,1000,4660,2170
NA,NA,NA,1000,4471,2168
NA,NA,NA,1000,4670,2160
NA,NA,NA,1000,5685,2152
NA,NA,NA,1000,5650,2146
NA,NA,NA,1000,5690,2140
NA,NA,NA,1000,4549,2139
0,0,0,1000,5399,2116
NA,NA,NA,1000,5389,2111
NA,NA,NA,1000,4825,2092
NA,NA,NA,1000,2719,2083
NA,NA,NA,1000,5520,2079
NA,NA,NA,1000,4736,2074
NA,NA,NA,1000,4757,2072
4790,400,4790,1000,4750,2063
NA,NA,NA,1000,4756,2062
NA,NA,NA,1000,4887,2028
130,0,130,1000,4885,2027
NA,NA,NA,1000,4886,2027
980,200,980,1000,4885,2026
NA,NA,NA,1000,4886,2026
790,270,790,1000,4885,2025
NA,NA,NA,1000,4885,2024
NA,NA,NA,1000,4889,2022
NA,NA,NA,1000,4885,2021
NA,NA,NA,1000,4886,2021
NA,NA,NA,1000,4887,2021
1600,510,1600,1000,4885,2020
1680,490,1680,1000,4886,2020
NA,NA,NA,1000,4831,2019
NA,NA,NA,1000,4832,2019
2850,700,2850,1000,4833,2019
7770,2050,7770,1000,4833,2018
250,0,250,1000,4833,2017
NA,NA,NA,1000,4835,1999
NA,NA,NA,1000,4839,1990
NA,NA,NA,1000,4907,1978
NA,NA,NA,1000,4908,1977
NA,NA,NA,1000,4906,1976
NA,NA,NA,1000,4908,1976
110,0,110,1000,4908,1975
7160,2710,7170,1000,4909,1975
NA,NA,NA,1000,4857,1959
2830,1150,2830,1000,4858,1959
570,190,570,1000,4858,1958
NA,NA,NA,1000,4765,1954
NA,NA,NA,1000,4934,1953
NA,NA,NA,1000,4823,1948
NA,NA,NA,1000,4837,1946
NA,NA,NA,1000,5740,1945
NA,NA,NA,1000,4835,1943
NA,NA,NA,1000,4835,1942
NA,NA,NA,1000,4826,1941
3790,550,3790,1000,4835,1941
300,0,300,1000,4836,1941
340,0,340,1000,4835,1940
NA,NA,NA,1000,4179,1939
NA,NA,NA,1000,5715,1939
NA,NA,NA,1000,4858,1938
NA,NA,NA,1000,5554,1922
NA,NA,NA,1000,5745,1919
NA,NA,NA,1000,4890,1918
NA,NA,NA,1000,4880,1884
NA,NA,NA,1000,4905,1853
NA,NA,NA,1000,4915,1849
NA,NA,NA,1000,4915,1844
